Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
86831447,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
180208,000007EA,false,Rx,0,8,10,23,61,81,30,B4,30,9B,
303111,000007EA,false,Rx,0,8,10,23,61,81,30,B4,30,9B,
426033,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
544807,000007EA,false,Rx,0,8,10,23,61,81,30,B4,30,9B,
670910,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
786628,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
905455,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1020074,000007EA,false,Rx,0,8,10,23,61,81,30,B4,30,9B,
1132188,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1245405,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1364845,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1483053,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1605994,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1721106,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1843575,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
1962474,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2077107,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2200026,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2318805,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2445988,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2565007,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2695769,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2818707,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
2949765,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3068550,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3183268,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3302070,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3437259,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3556119,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3687241,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3798861,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
3920754,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4037414,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4158372,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4268958,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4383704,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4496344,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4609016,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4723784,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4838451,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
4958162,000007EA,false,Rx,0,8,10,23,61,81,30,C4,30,9B,
