Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
180220,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
480283,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
780819,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
1080243,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
1380302,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
1680295,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
1980791,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
2280464,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
2580462,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
2880625,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
3180842,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
3481486,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
3780828,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
4080778,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
4380833,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
4681270,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
4981150,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
5281088,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
5581083,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
5881139,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
6181170,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
6481323,00000620,false,Rx,0,8,10,00,00,53,B0,00,00,50,
6781307,00000620,false,Rx,0,8,10,00,00,54,B0,00,00,50,
7081552,00000620,false,Rx,0,8,10,00,00,56,B0,00,00,50,
7382010,00000620,false,Rx,0,8,10,00,00,57,B0,00,00,50,
7681728,00000620,false,Rx,0,8,10,00,00,5D,B0,00,00,50,
7981974,00000620,false,Rx,0,8,10,00,00,5E,B0,00,00,50,
8281675,00000620,false,Rx,0,8,10,00,00,60,B0,00,00,50,
8581787,00000620,false,Rx,0,8,10,00,00,66,B0,00,00,50,
8882054,00000620,false,Rx,0,8,10,00,00,76,B0,00,00,50,
9181816,00000620,false,Rx,0,8,10,00,00,84,B0,00,00,50,
9481981,00000620,false,Rx,0,8,10,00,00,BC,B0,00,00,50,
9782098,00000620,false,Rx,0,8,10,00,01,4B,B0,00,00,50,
10082610,00000620,false,Rx,0,8,10,00,01,EF,B0,00,00,50,
10382143,00000620,false,Rx,0,8,10,00,02,40,B0,00,00,50,
10582149,00000620,false,Rx,0,8,10,80,02,4E,F0,00,00,50,
10882643,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
11182221,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
11483741,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
11783063,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
12084738,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
12385266,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
12685691,00000620,false,Rx,0,8,10,00,02,4F,F0,00,00,50,
12987450,00000620,false,Rx,0,8,10,00,02,45,F0,00,00,50,
13282624,00000620,false,Rx,0,8,10,00,01,8D,F0,00,00,50,
13582786,00000620,false,Rx,0,8,10,00,00,BF,F0,00,00,50,
13882842,00000620,false,Rx,0,8,10,00,00,60,F0,00,00,50,
14183067,00000620,false,Rx,0,8,10,00,00,54,F0,00,00,50,
14482979,00000620,false,Rx,0,8,10,00,00,53,F0,00,00,50,
14782900,00000620,false,Rx,0,8,10,00,00,52,F0,00,00,50,
15082959,00000620,false,Rx,0,8,10,00,00,52,F0,00,00,50,
15328634,00000620,false,Rx,0,8,10,80,00,52,B0,00,00,50,
15629073,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
15929585,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
16231328,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
16531874,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
16828436,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
17128547,00000620,false,Rx,0,8,10,00,00,53,B0,00,00,50,
17428339,00000620,false,Rx,0,8,10,00,00,53,B0,00,00,50,
17728456,00000620,false,Rx,0,8,10,00,00,53,B0,00,00,50,
18028583,00000620,false,Rx,0,8,10,00,00,52,B0,00,00,50,
