Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3638498,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3662011,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
47813,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
72272,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
94732,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
118546,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
141838,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
167829,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
188994,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
212503,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
236070,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
259646,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
283189,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
309218,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
330624,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
353876,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
377436,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
400932,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
424501,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
448266,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
471653,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
495455,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
518769,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
542338,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
569660,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
589711,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
612986,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
636575,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
660127,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
683661,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
709935,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
730764,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
754330,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
777895,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
801439,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
825787,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
848951,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
872387,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
895649,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
919276,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
942809,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
966312,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
989900,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1013506,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1037126,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1060751,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1085459,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1109401,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1131246,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1154818,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1178378,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1201950,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1225485,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1250837,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1272568,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1296175,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1319733,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1343633,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1366796,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1391155,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1413936,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1437734,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1461022,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1484655,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1511308,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1531707,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1555287,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1579069,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1602383,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
1626208,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
