Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2668713,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2668936,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2669045,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
2669371,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2670025,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2673068,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2674478,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2674641,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2674857,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
2675135,00000610,false,Rx,0,8,20,00,00,64,C0,FF,FD,74,
2675356,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2678236,000003F9,false,Rx,0,8,58,5C,56,01,00,00,00,0F,
2682072,00000499,false,Rx,0,8,D2,00,35,00,00,00,00,00,
2682077,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2682082,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2682088,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2682093,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2682098,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2682104,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2682327,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2686451,0000049A,false,Rx,0,8,00,14,A6,00,61,80,32,A8,
2686668,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2686831,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
2687105,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2690314,00000394,false,Rx,0,1,00,00,00,00,00,00,00,00,
2691559,0000049B,false,Rx,0,8,00,A0,25,20,08,00,40,00,
2692538,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2692755,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2693032,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2693250,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2693575,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2694934,0000045C,false,Rx,0,8,5F,02,00,20,08,00,00,00,
2695639,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2696617,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2696895,0000049D,false,Rx,0,8,60,60,01,47,8B,11,E6,80,
2697708,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2702086,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2702091,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2702096,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
2702101,000004A8,false,Rx,0,8,00,06,80,00,00,00,00,04,
2704548,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2704818,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2705043,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2705316,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2705480,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2705873,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2708966,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
2709997,0000049E,false,Rx,0,8,00,80,00,C0,01,A8,02,49,
2710646,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2710867,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
2711084,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2713094,0000049F,false,Rx,0,8,00,44,D0,00,00,00,00,00,
2714128,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2715867,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2716625,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2716841,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2717066,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2717283,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2717500,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2717663,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
2722095,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2722694,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2722858,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2723082,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
2725849,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
2728623,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2728900,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2729117,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2729337,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2729554,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2729825,00000024,false,Rx,0,8,02,01,01,F4,62,1D,81,24,
2730481,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2734714,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2734884,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
2735101,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2736080,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
2740943,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2740949,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2741169,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2741389,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2741552,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
2742098,00000024,false,Rx,0,8,02,01,01,F4,62,1D,80,23,
2743778,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2746818,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2747042,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2747207,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2747478,00000630,false,Rx,0,8,17,00,00,00,00,00,00,00,
2750643,000006C0,false,Rx,0,8,E4,00,80,A0,00,00,00,00,
2752821,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2753098,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2753317,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2753588,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2753804,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2754028,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2756311,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
2760964,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2760969,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
2760974,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2763264,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2764241,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2764887,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2765166,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2765387,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2765496,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
2765766,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2767294,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2770879,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2771043,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2771263,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
2773539,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
2776473,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2776743,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2776973,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2777246,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2777463,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2777680,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2777904,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2782166,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2782172,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
2782940,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2783104,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
2783377,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2786526,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
2787774,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2789029,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2789251,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2789468,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2790231,00000024,false,Rx,0,8,02,01,01,F4,62,1D,81,24,
2790884,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2794842,000003D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
2795119,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2795283,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2796045,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2796639,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
2797132,0000045F,false,Rx,0,8,40,02,00,00,01,00,00,00,
2797242,000003BD,false,Rx,0,1,20,00,00,00,00,00,00,00,
2801060,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2801065,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2801287,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2801558,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2801775,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2801998,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2807167,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2807386,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
2807657,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2807881,000003B6,false,Rx,0,8,00,00,01,10,00,02,03,00,
2811355,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2812442,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2813207,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2813424,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2813641,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2813910,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2814027,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
2814461,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2817017,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2821101,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2821106,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2821111,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
2821117,000003B7,false,Rx,0,8,00,07,00,00,00,00,00,00,
2821825,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
2823672,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2825253,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2825523,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2825740,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2825964,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2826181,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2828837,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2831287,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2831450,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
2831720,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2832159,00000620,false,Rx,0,8,10,00,02,50,F0,00,00,50,
2834929,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2837100,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2837374,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2837644,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2837867,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2838083,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
2838356,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2838519,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2843320,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2843482,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2845225,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2847236,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2847399,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
2849408,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2849679,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2849894,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2850119,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2850660,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2855421,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2855638,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
2855910,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2857431,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
2858463,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2861468,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2861685,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2861963,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2862180,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2862399,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2862615,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2862778,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
2862894,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
2867452,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2867614,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2867892,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
2870764,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2873484,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2873755,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2873979,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2874197,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2874414,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2877670,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
2878001,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2881184,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2881190,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
2881195,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
2882014,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
2882123,000003FA,false,Rx,0,1,00,00,00,00,00,00,00,00,
2885108,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
2885274,0000039B,false,Rx,0,5,00,00,00,00,00,00,00,00,
2885544,000003E0,false,Rx,0,8,05,71,00,00,0F,82,80,00,
2885761,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2885985,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
2886204,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2886474,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
2891631,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
2891794,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
2894300,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
2894570,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
2897071,00000440,false,Rx,0,8,42,02,00,00,01,00,00,00,
2897559,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
2897830,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
2898051,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
2898270,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
2898540,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
2898756,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
229434,00000434,false,Rx,0,8,41,40,00,00,01,80,00,00,
229556,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
229941,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
230646,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
230867,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
231137,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
232611,000006F0,false,Rx,0,8,2E,00,0F,1E,00,C0,00,00,
232774,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
234951,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
235653,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
236718,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
236835,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
237059,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
237332,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
237441,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
237712,0000042F,false,Rx,0,8,00,00,00,00,00,00,00,00,
237936,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
238208,00000421,false,Rx,0,8,00,00,00,00,00,00,00,00,
238801,0000038B,false,Rx,0,7,00,00,00,00,00,00,00,00,
242656,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
242881,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
243097,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
243316,000004C3,false,Rx,0,8,03,00,00,00,00,00,00,00,
244893,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
245110,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
249492,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
249498,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
249503,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
249508,00000024,false,Rx,0,8,02,01,01,F4,62,1D,81,24,
249622,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
254183,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
254723,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
254885,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
255163,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
255382,000003F9,false,Rx,0,8,58,5C,56,01,00,00,00,0F,
256143,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
259238,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
260754,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
260977,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
261198,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
261469,000004DD,false,Rx,0,8,1E,00,00,02,00,00,00,00,
261685,00000024,false,Rx,0,8,02,01,01,F4,62,1D,7F,22,
265323,00000260,false,Rx,0,8,00,00,04,00,00,00,00,6E,
268347,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
268399,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
268404,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
270199,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
270523,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
272800,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
273024,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
273242,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
273459,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
273897,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
278778,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
279002,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
279219,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
279705,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
282767,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
284841,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
285065,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
285337,00000024,false,Rx,0,8,02,02,01,F4,62,1D,80,24,
285554,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
285771,00000260,false,Rx,0,8,00,00,03,00,00,00,00,6D,
285935,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
289598,000004A7,false,Rx,0,8,00,00,74,00,50,00,00,00,
289604,00000498,false,Rx,0,8,C0,00,00,31,B7,00,00,12,
289609,00000127,false,Rx,0,8,00,10,00,08,00,0F,A3,FA,
289614,0000049C,false,Rx,0,8,A0,09,0A,00,00,00,00,21,
290812,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
290982,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
291202,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
292017,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
294083,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
295549,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
296912,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
