Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
323632,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
824531,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
1325360,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
1822135,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
2321517,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
2821342,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
3321171,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
3821000,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
4321296,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
4820663,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
5320485,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
5820588,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
6320167,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
6819978,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
7319778,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
7819603,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
8319484,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
8819264,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
9319105,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
9820209,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
10319810,0000049B,false,Rx,0,8,00,A0,27,20,06,00,40,00,
10820552,0000049B,false,Rx,0,8,00,A0,27,20,06,00,40,00,
11321267,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
11818249,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
12318071,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
12818090,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
13317930,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
13817555,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
14317390,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
14817235,0000049B,false,Rx,0,8,00,A0,27,20,06,00,40,00,
15317047,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
15816903,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
16317096,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
16816559,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
17316430,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
17816188,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
18316037,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
18815854,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
19315661,0000049B,false,Rx,0,8,00,A0,27,20,06,00,40,00,
19815492,0000049B,false,Rx,0,8,00,A0,27,20,06,00,40,00,
20315752,0000049B,false,Rx,0,8,00,A0,27,20,04,00,40,00,
20816513,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
21318688,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
21814801,0000049B,false,Rx,0,8,00,A0,27,20,0A,00,40,00,
22315041,0000049B,false,Rx,0,8,00,A0,27,20,08,00,40,00,
22814696,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
23314990,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
23814135,0000049B,false,Rx,0,8,00,A0,27,20,02,00,40,00,
24313997,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
24813996,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
25313632,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
25813463,0000049B,false,Rx,0,8,00,A0,27,20,00,00,40,00,
