Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4410990705,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4410990871,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4410996816,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4410997033,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4410997250,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4410997474,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4410997853,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4410998561,00000442,false,Rx,0,8,43,02,00,00,04,00,00,00,
4410999318,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411001273,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411002799,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411003016,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4411003287,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411006496,00000260,false,Rx,0,8,00,00,01,00,00,00,00,6B,
4411008939,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411009210,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411009433,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411009596,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411009760,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4411010138,00000024,false,Rx,0,8,02,01,01,F4,62,19,80,1F,
4411010577,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4411011503,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4411012591,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411017071,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411017077,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411017082,00000320,false,Rx,0,8,44,20,04,00,FF,00,00,92,
4411017087,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411017093,000003F9,false,Rx,0,8,58,5C,56,01,00,00,00,0F,
4411021070,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411021287,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411021510,00000024,false,Rx,0,8,02,01,01,F4,62,19,7F,1E,
4411021784,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411022001,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411024880,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4411026727,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4411027107,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411027269,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4411027547,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4411032103,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4411033082,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4411033298,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411035934,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4411035939,00000024,false,Rx,0,8,02,01,01,F4,62,19,81,20,
4411035944,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4411036111,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4411036825,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4411039157,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4411039320,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4411045187,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4411045465,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4411045628,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4411045901,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
