id_hex,id_dec,dbc_names,full drive 1.csv,steerbuttons1.csv,windowdump1.csv,mode buttons only.csv,dim bright dim bright dim.csv,brightness sensor only.csv,dashbar only.csv,battery voltage only.csv,buzzertest1.csv,wirelessbuzzer1.csv
0x020,32,,133836,1771,24114,,1994,,,,7325,9866
0x024,36,toyota_prius_2010_pt.dbc:KINEMATICS | toyota_2017_ref_pt.dbc:YGS1S03 | Prius.dbc:Unbekannt_03,133836,1771,24113,,1995,,,,7325,9866
0x025,37,toyota_prius_2010_pt.dbc:STEER_ANGLE_SENSOR | toyota_2017_ref_pt.dbc:STR1S01 | Prius.dbc:Lenkung_1,133836,1771,24114,,1995,,,,7325,9866
0x0AA,170,toyota_prius_2010_pt.dbc:WHEEL_SPEEDS | toyota_2017_ref_pt.dbc:VSC1F01 | Prius.dbc:V_RAD,133836,1772,24114,,1995,,,,7325,9865
0x0B4,180,toyota_prius_2010_pt.dbc:SPEED | toyota_2017_ref_pt.dbc:VSC1S03 | Prius.dbc:Unbekannt_07,66918,886,12057,,997,,,,3663,4933
0x0B6,182,Prius.dbc:V,33459,443,6029,,499,,,,1832,2467
0x127,295,toyota_prius_2010_pt.dbc:GEAR_PACKET | Prius.dbc:Unbekannt_02,99235,1303,17740,,1467,,,,5389,7258
0x1AA,426,toyota_2017_ref_pt.dbc:VSC1F02,33459,443,6028,,498,,,,1831,2466
0x1C4,452,toyota_prius_2010_pt.dbc:POWERTRAIN | toyota_2017_ref_pt.dbc:ENG1F07 | Prius.dbc:Unbekannt_06,69044,907,12342,,1021,,,,3749,5050
0x224,548,Prius.dbc:Bremse_1,66919,886,12057,,997,,,,3663,4933
0x230,560,toyota_prius_2010_pt.dbc:BRAKE_MODULE2 | Prius.dbc:Unbekannt_01,66918,885,12057,,998,,,,3662,4933
0x232,562,toyota_2017_ref_pt.dbc:VSC1S14,66918,886,12057,,998,,,,3662,4932
0x235,565,,66918,886,12057,,997,,,,3663,4933
0x245,581,toyota_prius_2010_pt.dbc:GAS_PEDAL | Prius.dbc:Unbekannt_09,69032,906,12341,,1021,,,,3749,5049
0x247,583,Prius.dbc:Display_1,69033,906,12341,,1021,,12688,,3749,5050
0x260,608,toyota_prius_2010_pt.dbc:STEER_TORQUE_SENSOR | Prius.dbc:Unbekannt_04,80421,1056,14370,,1189,,,,4365,5880
0x262,610,toyota_prius_2010_pt.dbc:EPS_STATUS,40211,528,7185,,594,,,,2182,2940
0x320,800,toyota_2017_ref_pt.dbc:VSC1S07 | Prius.dbc:Unbekannt_12,33459,443,6028,,499,,,,1831,2466
0x32A,810,,33459,443,6028,,499,,,,1831,2466
0x351,849,,26806,352,4790,,396,,,,1455,1961
0x361,865,,25203,331,4505,,373,,,,1369,1844
0x381,897,toyota_2017_ref_pt.dbc:ACN1S04,353,5,58,,5,,,,18,23
0x382,898,,395,5,58,,5,,,,18,24
0x383,899,,814,11,146,,12,,,,44,59
0x384,900,toyota_2017_ref_pt.dbc:AVN1S01,542,7,97,,8,,,,29,40
0x386,902,toyota_2017_ref_pt.dbc:AVN1S03,542,7,97,,8,,,,29,40
0x387,903,,1626,22,291,,24,,,,89,119
0x389,905,toyota_2017_ref_pt.dbc:AVN1S08,1626,22,290,,24,,,,89,119
0x38B,907,,1625,21,290,,24,,,,88,119
0x38E,910,,1626,21,291,,24,,,,89,119
0x38F,911,toyota_2017_ref_pt.dbc:AVN1S07,1626,21,290,,24,,,,89,119
0x394,916,toyota_2017_ref_pt.dbc:EPS1S90,5362,70,958,,80,,,,291,392
0x399,921,toyota_prius_2010_pt.dbc:PCM_CRUISE_SM | toyota_2017_ref_pt.dbc:ENG1S95,1588,20,284,,23,,,,86,116
0x39B,923,,1625,21,290,,24,,,,88,119
0x3A5,933,toyota_2017_ref_pt.dbc:AVN1S13,1805,21,291,,24,,,,88,119
0x3B0,944,toyota_2017_ref_pt.dbc:ACN1S07 | Prius.dbc:Unbekannt_27,1630,22,291,,24,,,,88,120
0x3B1,945,toyota_2017_ref_pt.dbc:ABG1S01,1628,22,290,,24,,,,88,119
0x3B3,947,Prius.dbc:Unbekannt_10,3176,41,568,,47,,,,173,232
0x3B6,950,,1669,21,290,,24,,,,89,119
0x3B7,951,toyota_prius_2010_pt.dbc:ESP_CONTROL | toyota_2017_ref_pt.dbc:VSC1S95,5353,71,965,,80,,,,297,395
0x3B9,953,Prius.dbc:Unbekannt_21,1588,21,284,,23,,,,87,116
0x3BB,955,toyota_2017_ref_pt.dbc:ENG1S92,1649,21,284,,23,,,,86,117
0x3BC,956,toyota_2017_ref_pt.dbc:ECT1S92,1596,21,284,,23,,,,87,116
0x3BD,957,,1633,21,291,,24,,,,88,119
0x3D3,979,toyota_2017_ref_pt.dbc:ENG1S28 | Prius.dbc:Unbekannt_14,3101,41,555,,46,,,,168,226
0x3E0,992,toyota_2017_ref_pt.dbc:MET1S18,1627,21,291,,24,,,,89,119
0x3E6,998,toyota_2017_ref_pt.dbc:AVN1S11,542,7,97,,8,,,,29,40
0x3E7,999,toyota_2017_ref_pt.dbc:AVN1S17,542,7,97,,8,,,,29,40
0x3E8,1000,toyota_2017_ref_pt.dbc:AVN1S18,542,7,97,,8,,,,29,40
0x3E9,1001,toyota_2017_ref_pt.dbc:AVN1S19,542,7,97,,8,,,,29,40
0x3F9,1017,toyota_2017_ref_pt.dbc:ENG1F03,6507,86,1163,,97,,,,353,476
0x3FA,1018,,5419,71,969,,80,,,,295,396
0x413,1043,toyota_2017_ref_pt.dbc:AVN1S31,1626,21,291,,24,,,,88,119
0x420,1056,toyota_2017_ref_pt.dbc:VSC1S08,1603,21,289,,24,,,,87,119
0x421,1057,,1625,21,290,,24,,,,88,119
0x423,1059,toyota_2017_ref_pt.dbc:STR1S02,1615,22,289,,24,,,,88,118
0x42F,1071,,1625,21,290,,24,,,,88,119
0x434,1076,toyota_2017_ref_pt.dbc:AVN1S20,1626,21,291,,24,,,,88,119
0x435,1077,toyota_2017_ref_pt.dbc:AVN1S21,1626,21,291,,27,,,,88,119
0x436,1078,,1626,21,291,,24,,,,88,119
0x437,1079,,1626,21,291,,24,,,,88,119
0x440,1088,,2725,35,487,,40,,,,148,200
0x442,1090,,2725,36,487,,40,,,,148,200
0x443,1091,,2725,36,487,,40,,,,148,199
0x44D,1101,,2725,36,487,,40,,,,148,199
0x45C,1116,,2726,36,487,,41,,,,148,199
0x45F,1119,,2726,36,487,,41,,,,148,200
0x498,1176,toyota_2017_ref_pt.dbc:ENG1D50 | Prius.dbc:Unbekannt_08,3254,43,582,,48,,,,177,238
0x499,1177,toyota_2017_ref_pt.dbc:ENG1D51 | Prius.dbc:Unbekannt_15,3254,43,581,,49,,,,177,238
0x49A,1178,toyota_2017_ref_pt.dbc:ENG1D52 | Prius.dbc:Unbekannt_25,3254,43,581,,49,,,,177,238
0x49B,1179,toyota_2017_ref_pt.dbc:ENG1D53 | Prius.dbc:Unbekannt_17,3254,43,581,52,49,,,,177,238
0x49C,1180,toyota_2017_ref_pt.dbc:ENG1D54 | Prius.dbc:Unbekannt_16,3254,43,582,,48,,,,177,238
0x49D,1181,toyota_2017_ref_pt.dbc:ENG1D55 | Prius.dbc:Unbekannt_18,3254,43,581,,49,,,,177,238
0x49E,1182,toyota_2017_ref_pt.dbc:ECT1D50,3254,43,581,,49,,,,177,238
0x49F,1183,toyota_2017_ref_pt.dbc:ECT1D51,3254,43,581,,49,,,,177,238
0x4A0,1184,Prius.dbc:V_RAD_2,3225,43,581,,48,,,,176,237
0x4A1,1185,Prius.dbc:Unbekannt_22,3225,43,581,,48,,,,176,237
0x4A2,1186,Prius.dbc:Unbekannt_24,3225,43,581,,48,,,,176,237
0x4A6,1190,Prius.dbc:Unbekannt_26,1985,26,355,,29,,,,108,145
0x4A7,1191,toyota_2017_ref_pt.dbc:ENG1D57 | Prius.dbc:Unbekannt_20,3254,43,582,,48,,,,177,238
0x4A8,1192,toyota_2017_ref_pt.dbc:ENG1D56,3254,43,581,,49,,,,177,238
0x4C1,1217,,1786,24,320,,26,,,,97,131
0x4C3,1219,,1727,23,312,,26,,,,95,127
0x4C6,1222,,1696,22,303,,25,,,,92,124
